actual_price,discount,name,price_without_discount,rating,specification,total_ratings
"₹1,529",19% off,Nokia 105 PLUS,"₹,1,899",4.1,"4 MB RAM | 4 MB ROM,4.5 cm (1.77 inch) Display,0MP Front Camera,1000 mAh Lithium Ion Battery,MTK6261D Processor,1 Year Manufacturer Warranty For Device And 6 Months Manufacturer Warranty For In-Box Accessories Including Battery From The Date Of Purchase","7,464 Ratings "
"₹1,448",,Nokia 105,"₹,1,454",4.1,"32 MB ROM,3.56 cm (1.4 inch) Display,800 mAh3 Li-Ion Battery,1 Year Manufacturer Warranty","31,064 Ratings "
"₹13,999",,"Nokia 3.4 (Charcoal GREY, 64 GB)",,4,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.23 cm (6.39 inch) HD+ Display,13MP + 5MP + 2MP | 8MP Front Camera,4000 mAh Li-ion Battery,Qualcomm Snapdragon 460 Processor,1 Year Manufacturer Warranty For Device and Battery and 6 Months Manufacturer Warranty for In-box Accessories From the Date of Purchase",583 Ratings 
"₹11,499",,"Nokia 2.4 (Dusk Purple, 64 GB)",,4.1,"3 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4500 mAh Li-ion Polymer Battery,MediaTek Helio P22 Processor,1 Year Manufacturer Warranty for Device and Battery and 6 Months Manufacturer Warranty for In-Box Accessories from the Date of Purchase","1,185 Ratings "
"₹11,349",18% off,"Nokia G10 (Night | Dark Blue, 64 GB)","₹,13,999",4,"4 GB RAM | 64 GB ROM,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP + 2MP | 8MP Front Camera,5050 mAh Lithium Ion Battery,MediaTek Helio G25 Processor,1 Year Manufacturer Warranty For Device and Battery and 6 Months Manufacturer Warranty for In-box Accessories From the Date of Purchase",197 Ratings 
"₹4,398",,Nokia 3310 DS 2020,,3.9,"16 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,2MP Rear Camera,1200 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","35,485 Ratings "
"₹1,480",,Nokia 105 TA 1304 SS Black,,4,"4 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Quarter QVGA Display,0MP,800 mAh Battery,N/A Processor,Brand Warranty of 1 Year Available for Mobile",50 Ratings 
"₹5,190",12% off,Nokia 2660 DS 4G Flip,"₹,5,899",4,"128 MB RAM | 48 MB ROM,7.11 cm (2.8 inch) Display,0.3MP Rear Camera,1450 mAh Battery,1 Year Manufacturer Replacement Warranty",895 Ratings 
"₹2,369",15% off,Nokia 125 DS,"₹,2,799",3.8,"4 MB RAM | 4 MB ROM,6.1 cm (2.4 inch) Display,1020 mAh Battery,1 year",856 Ratings 
"₹4,399",,Nokia 3310 DS 2020,,3.9,"16 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,2MP Rear Camera,1200 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","35,485 Ratings "
