actual_price,discount,name,price_without_discount,rating,specification,total_ratings
"₹17,990",10% off,"POCO X3 (Cobalt Blue, 64 GB)","₹,19,999",4.3,"6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,64MP + 13MP + 2MP + 2MP | 20MP Front Camera,6000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 732G Processor,1 Year for Handset and 6 Months for Accessories","2,55,412 Ratings "
"₹14,999",16% off,"POCO M4 Pro (Power Black, 64 GB)","₹,17,999",4.3,"6 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor,One Year for Handset, 6 Months for Accessories","1,54,757 Ratings "
"₹16,499",17% off,"POCO M4 Pro (Power Black, 128 GB)","₹,19,999",4.3,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor,One Year for Handset, 6 Months for Accessories","1,54,757 Ratings "
"₹12,999",,"POCO M3 (Cool Blue, 64 GB)",,4.3,"6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,48MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 662 Processor,Multiple Hands-free Voice Assistant,One Year Warranty for Handset, 6 Months for Accessories","4,81,986 Ratings "
"₹11,999",,"POCO M2 Reloaded (Greyish Black, 64 GB)",,4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,13MP + 8MP + 5MP + 2MP | 8MP Front Camera,5000 mAh Lithium Polymer Battery,MediaTek Helio G80 Processor,1 Year for Handset, 6 Months for Accessories","67,044 Ratings "
"₹11,999",,"POCO M3 (Power Black, 64 GB)",,4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,48MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 662 Processor,Multiple Hands-free Voice Assistant,One Year Warranty for Handset, 6 Months for Accessories","1,24,866 Ratings "
"₹19,999",,"POCO M2 Pro (Two Shades of Black, 128 GB)",,4.4,"6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 720G Processor,1 Year for Handset, 6 Months for Accessories","3,50,884 Ratings "
"₹34,999",,"POCO F3 GT 5G (Predator Black, 128 GB)",,4.3,"8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP | 16MP Front Camera,5065 mAh Lithium-ion Polymer Battery,MediaTek Dimensity 1200 Processor,Multiple Hands-free Voice Assistant,1 Year Warranty for Handset, 6 Months for Accessories","14,936 Ratings "
"₹17,999",,"POCO M2 Pro (Out of the Blue, 64 GB)",,4.4,"6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 720G Processor,1 Year for Handset, 6 Months for Accessories","3,50,884 Ratings "
"₹17,999",,"POCO M3 Pro 5G (Yellow, 128 GB)",,4.2,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,MediaTek Dimensity 700 Processor,Multiple Hands-free Voice Assistant,One Year Warranty for Handset, 6 Months for Accessories","53,663 Ratings "
"₹9,999",,"POCO C3 (Arctic Blue, 32 GB)",,4.3,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Helio G35 Processor,1 Year on Handset and 6 Months on Accessories","3,98,932 Ratings "
